fila_original,grupo,conjunto
177,177,Validacion
178,178,Entrenamiento
179,179,Validacion
180,178,Entrenamiento
181,180,Entrenamiento
182,181,Validacion
183,182,Entrenamiento
184,183,Prueba
185,184,Validacion
186,185,Prueba
187,186,Entrenamiento
188,187,Entrenamiento
189,188,Entrenamiento
190,189,Entrenamiento
191,190,Entrenamiento
192,191,Entrenamiento
193,192,Prueba
194,193,Entrenamiento
195,194,Entrenamiento
196,195,Prueba
197,196,Validacion
198,197,Entrenamiento
199,198,Entrenamiento
200,199,Prueba
201,200,Entrenamiento
202,201,Entrenamiento
203,189,Entrenamiento
204,202,Entrenamiento
205,203,Prueba
206,204,Entrenamiento
207,205,Entrenamiento
208,206,Entrenamiento
209,207,Entrenamiento
210,208,Validacion
211,209,Entrenamiento
212,210,Validacion
213,211,Entrenamiento
214,212,Entrenamiento
215,213,Entrenamiento
216,214,Prueba
217,215,Entrenamiento
218,216,Entrenamiento
219,217,Validacion
220,218,Validacion
221,219,Prueba
222,220,Entrenamiento
223,221,Validacion
224,222,Entrenamiento
225,223,Entrenamiento
226,224,Entrenamiento
227,225,Entrenamiento
228,226,Entrenamiento
229,227,Prueba
230,228,Validacion
231,229,Validacion
232,230,Prueba
233,231,Entrenamiento
234,232,Entrenamiento
235,233,Validacion
236,184,Validacion
237,234,Entrenamiento
238,235,Entrenamiento
239,236,Entrenamiento
240,237,Entrenamiento
241,238,Prueba
242,239,Prueba
243,240,Prueba
244,241,Entrenamiento
245,242,Entrenamiento
246,243,Entrenamiento
247,244,Entrenamiento
248,245,Prueba
249,210,Validacion
250,246,Entrenamiento
251,247,Validacion
252,111,Entrenamiento
253,248,Prueba
254,249,Entrenamiento
255,250,Entrenamiento
256,251,Validacion
257,252,Validacion
258,253,Entrenamiento
259,254,Validacion
260,255,Entrenamiento
261,256,Entrenamiento
262,257,Validacion
263,258,Entrenamiento
264,259,Validacion
265,260,Entrenamiento
266,261,Entrenamiento
267,262,Entrenamiento
268,263,Validacion
269,264,Entrenamiento
270,265,Entrenamiento
271,266,Entrenamiento
272,267,Entrenamiento
273,268,Entrenamiento
274,269,Entrenamiento
275,270,Entrenamiento
276,271,Entrenamiento
277,272,Validacion
278,273,Entrenamiento
279,274,Prueba
280,275,Entrenamiento
281,276,Entrenamiento
282,277,Entrenamiento
283,278,Entrenamiento
284,279,Validacion
285,280,Entrenamiento
286,281,Entrenamiento
287,282,Entrenamiento
288,283,Validacion
289,284,Entrenamiento
290,285,Entrenamiento
291,286,Prueba
292,287,Prueba
293,288,Entrenamiento
294,289,Entrenamiento
295,290,Prueba
296,291,Validacion
297,292,Validacion
298,293,Validacion
299,294,Entrenamiento
300,295,Validacion
301,296,Validacion
302,297,Prueba
303,298,Validacion
304,299,Entrenamiento
305,300,Entrenamiento
306,301,Entrenamiento
307,302,Entrenamiento
308,303,Entrenamiento
309,304,Entrenamiento
310,305,Entrenamiento
311,306,Entrenamiento
312,307,Entrenamiento
313,308,Prueba
314,309,Entrenamiento
315,310,Entrenamiento
316,311,Entrenamiento
317,312,Entrenamiento
318,313,Entrenamiento
319,314,Entrenamiento
320,315,Validacion
321,316,Entrenamiento
322,317,Entrenamiento
323,167,Validacion
324,318,Prueba
325,319,Validacion
326,320,Entrenamiento
327,321,Entrenamiento
328,322,Prueba
329,323,Entrenamiento
330,324,Validacion
331,325,Prueba
332,326,Entrenamiento
333,327,Entrenamiento
334,328,Entrenamiento
335,329,Entrenamiento
336,330,Entrenamiento
337,331,Entrenamiento
338,332,Validacion
339,333,Validacion
340,334,Prueba
341,335,Entrenamiento
342,336,Validacion
343,337,Entrenamiento
344,338,Entrenamiento
345,339,Validacion
346,340,Entrenamiento
347,341,Entrenamiento
348,342,Entrenamiento
349,343,Entrenamiento
350,344,Entrenamiento
351,345,Entrenamiento
352,346,Validacion
353,347,Entrenamiento
354,348,Entrenamiento
355,349,Entrenamiento
356,350,Validacion
357,351,Prueba
358,352,Entrenamiento
359,353,Entrenamiento
360,354,Prueba
361,355,Entrenamiento
362,356,Entrenamiento
363,357,Entrenamiento
364,188,Entrenamiento
365,358,Entrenamiento
366,359,Entrenamiento
367,360,Validacion
368,361,Entrenamiento
369,362,Entrenamiento
370,363,Entrenamiento
371,364,Entrenamiento
372,365,Entrenamiento
373,366,Prueba
374,367,Validacion
375,368,Entrenamiento
376,369,Entrenamiento
377,370,Entrenamiento
378,371,Prueba
379,372,Entrenamiento
380,373,Prueba
381,345,Entrenamiento
382,374,Entrenamiento
383,375,Entrenamiento
384,376,Validacion
385,377,Entrenamiento
386,378,Prueba
387,379,Entrenamiento
388,380,Validacion
389,381,Validacion
390,382,Entrenamiento
391,383,Entrenamiento
392,384,Entrenamiento
393,385,Entrenamiento
394,386,Entrenamiento
395,387,Validacion
396,388,Entrenamiento
397,389,Entrenamiento
398,390,Entrenamiento
399,391,Entrenamiento
400,392,Entrenamiento
401,393,Prueba
402,394,Entrenamiento
403,395,Entrenamiento
404,336,Validacion
405,396,Entrenamiento
406,25,Entrenamiento
407,397,Entrenamiento
408,398,Entrenamiento
409,399,Entrenamiento
410,400,Entrenamiento
411,401,Prueba
412,402,Entrenamiento
413,403,Entrenamiento
414,404,Entrenamiento
415,405,Entrenamiento
416,406,Entrenamiento
417,407,Entrenamiento
418,408,Validacion
419,409,Entrenamiento
420,410,Prueba
421,411,Prueba
422,412,Entrenamiento
423,217,Validacion
424,413,Entrenamiento
425,414,Prueba
426,415,Prueba
427,416,Prueba
428,417,Entrenamiento
429,418,Validacion
430,419,Entrenamiento
431,400,Entrenamiento
432,420,Entrenamiento
433,421,Entrenamiento
434,422,Prueba
435,423,Entrenamiento
436,424,Entrenamiento
437,425,Validacion
438,426,Validacion
439,427,Entrenamiento
440,400,Entrenamiento
441,428,Prueba
442,257,Validacion
443,429,Prueba
444,430,Entrenamiento
445,431,Entrenamiento
446,432,Entrenamiento
447,433,Entrenamiento
448,372,Entrenamiento
449,434,Entrenamiento
450,435,Entrenamiento
451,436,Entrenamiento
452,437,Validacion
453,438,Validacion
454,439,Validacion
455,440,Entrenamiento
456,441,Entrenamiento
457,442,Entrenamiento
458,443,Validacion
459,444,Entrenamiento
460,445,Validacion
461,446,Entrenamiento
462,447,Validacion
463,448,Entrenamiento
464,449,Entrenamiento
465,450,Prueba
466,411,Prueba
467,451,Prueba
468,452,Validacion
469,453,Prueba
470,454,Entrenamiento
471,455,Entrenamiento
472,456,Entrenamiento
473,457,Validacion
474,458,Entrenamiento
475,459,Entrenamiento
476,460,Entrenamiento
477,461,Entrenamiento
478,462,Entrenamiento
479,463,Validacion
480,380,Validacion
481,464,Entrenamiento
482,465,Validacion
483,466,Entrenamiento
484,467,Entrenamiento
485,468,Prueba
486,469,Entrenamiento
487,470,Entrenamiento
488,471,Prueba
489,472,Prueba
490,473,Validacion
491,474,Entrenamiento
492,475,Entrenamiento
493,292,Validacion
494,476,Entrenamiento
495,477,Entrenamiento
496,478,Validacion
497,479,Prueba
498,480,Entrenamiento
499,481,Entrenamiento
500,482,Entrenamiento
501,483,Entrenamiento
502,484,Entrenamiento
503,485,Prueba
504,486,Validacion
505,487,Entrenamiento
506,488,Entrenamiento
507,489,Entrenamiento
508,490,Entrenamiento
509,491,Prueba
510,492,Entrenamiento
511,493,Entrenamiento
512,494,Entrenamiento
513,495,Entrenamiento
514,496,Entrenamiento
515,497,Prueba
516,498,Validacion
517,499,Entrenamiento
518,500,Entrenamiento
519,501,Prueba
520,502,Entrenamiento
521,503,Entrenamiento
522,504,Entrenamiento
523,505,Prueba
524,506,Prueba
525,506,Prueba
526,507,Validacion
527,508,Entrenamiento
528,509,Entrenamiento
529,205,Entrenamiento
530,510,Entrenamiento
531,497,Prueba
532,511,Prueba
533,512,Entrenamiento
534,513,Entrenamiento
535,391,Entrenamiento
536,514,Entrenamiento
537,515,Entrenamiento
538,516,Entrenamiento
539,517,Prueba
540,518,Prueba
541,519,Entrenamiento
542,520,Entrenamiento
543,521,Entrenamiento
544,522,Entrenamiento
545,523,Entrenamiento
546,524,Entrenamiento
547,525,Entrenamiento
548,526,Entrenamiento
549,527,Validacion
550,528,Entrenamiento
551,529,Entrenamiento
552,530,Prueba
553,531,Entrenamiento
554,440,Entrenamiento
555,532,Entrenamiento
556,533,Validacion
557,534,Validacion
558,535,Entrenamiento
559,536,Entrenamiento
560,537,Entrenamiento
561,538,Prueba
562,539,Entrenamiento
563,540,Entrenamiento
564,541,Entrenamiento
565,542,Entrenamiento
566,543,Prueba
567,544,Validacion
568,545,Entrenamiento
569,546,Entrenamiento
570,547,Entrenamiento
571,548,Validacion
572,549,Prueba
573,550,Entrenamiento
574,551,Entrenamiento
575,552,Entrenamiento
576,553,Validacion
577,554,Entrenamiento
578,555,Validacion
579,556,Entrenamiento
580,557,Entrenamiento
581,431,Entrenamiento
582,558,Entrenamiento
583,559,Entrenamiento
584,560,Entrenamiento
585,561,Validacion
586,562,Entrenamiento
587,563,Entrenamiento
588,564,Prueba
589,565,Entrenamiento
590,566,Prueba
591,567,Validacion
592,568,Prueba
593,569,Entrenamiento
594,341,Entrenamiento
595,570,Entrenamiento
596,280,Entrenamiento
597,571,Entrenamiento
598,572,Entrenamiento
599,573,Entrenamiento
600,574,Entrenamiento
601,575,Entrenamiento
602,576,Prueba
603,250,Entrenamiento
604,577,Validacion
605,578,Entrenamiento
606,579,Entrenamiento
607,580,Entrenamiento
608,581,Entrenamiento
609,582,Prueba
610,253,Entrenamiento
611,583,Entrenamiento
612,93,Prueba
613,584,Prueba
614,585,Validacion
615,586,Validacion
616,587,Entrenamiento
617,588,Entrenamiento
618,589,Validacion
619,399,Entrenamiento
620,590,Entrenamiento
621,591,Entrenamiento
622,592,Entrenamiento
623,593,Entrenamiento
624,594,Prueba
625,460,Entrenamiento
626,595,Entrenamiento
627,596,Validacion
628,597,Entrenamiento
629,598,Validacion
630,599,Validacion
631,600,Entrenamiento
632,601,Entrenamiento
633,602,Validacion
634,603,Entrenamiento
635,604,Entrenamiento
636,431,Entrenamiento
637,605,Prueba
638,606,Entrenamiento
639,144,Prueba
640,607,Prueba
641,608,Entrenamiento
642,609,Entrenamiento
643,610,Entrenamiento
644,611,Prueba
645,612,Entrenamiento
646,613,Prueba
647,614,Entrenamiento
648,615,Entrenamiento
649,616,Entrenamiento
650,617,Entrenamiento
651,618,Entrenamiento
652,619,Entrenamiento
653,620,Prueba
654,621,Validacion
655,579,Entrenamiento
656,622,Prueba
657,623,Entrenamiento
658,624,Validacion
659,625,Validacion
660,626,Validacion
661,627,Entrenamiento
662,628,Entrenamiento
663,629,Entrenamiento
664,103,Entrenamiento
665,630,Entrenamiento
666,631,Entrenamiento
667,632,Entrenamiento
668,633,Prueba
669,634,Entrenamiento
670,635,Entrenamiento
671,636,Entrenamiento
672,637,Entrenamiento
673,638,Entrenamiento
674,639,Entrenamiento
675,640,Entrenamiento
676,641,Entrenamiento
677,642,Validacion
678,643,Entrenamiento
679,644,Prueba
680,645,Entrenamiento
681,646,Entrenamiento
682,647,Entrenamiento
683,648,Entrenamiento
684,649,Entrenamiento
685,650,Entrenamiento
686,651,Entrenamiento
687,652,Prueba
688,653,Prueba
689,654,Validacion
690,404,Entrenamiento
691,655,Prueba
692,656,Entrenamiento
693,657,Validacion
694,658,Entrenamiento
695,659,Entrenamiento
696,660,Entrenamiento
697,661,Entrenamiento
698,662,Entrenamiento
699,399,Entrenamiento
700,663,Entrenamiento
701,664,Entrenamiento
702,665,Entrenamiento
703,666,Entrenamiento
704,182,Entrenamiento
705,667,Entrenamiento
706,668,Prueba
707,669,Entrenamiento
708,670,Prueba
709,671,Entrenamiento
710,672,Entrenamiento
711,673,Entrenamiento
712,674,Entrenamiento
713,675,Entrenamiento
714,676,Validacion
715,677,Validacion
716,678,Entrenamiento
717,679,Entrenamiento
718,680,Entrenamiento
719,385,Entrenamiento
720,681,Validacion
721,682,Entrenamiento
722,683,Prueba
723,684,Entrenamiento
724,685,Entrenamiento
725,686,Entrenamiento
726,687,Entrenamiento
727,688,Entrenamiento
728,689,Entrenamiento
729,690,Validacion
730,691,Prueba
731,458,Entrenamiento
732,692,Entrenamiento
733,693,Validacion
734,694,Entrenamiento
735,695,Entrenamiento
736,696,Validacion
737,697,Entrenamiento
738,656,Entrenamiento
739,698,Entrenamiento
740,699,Entrenamiento
741,700,Entrenamiento
742,701,Entrenamiento
743,702,Entrenamiento
744,703,Entrenamiento
745,704,Entrenamiento
746,239,Prueba
747,705,Prueba
748,706,Entrenamiento
749,707,Entrenamiento
750,708,Entrenamiento
751,709,Entrenamiento
752,710,Entrenamiento
753,711,Prueba
754,712,Validacion
755,713,Entrenamiento
756,714,Entrenamiento
757,263,Validacion
758,715,Entrenamiento
759,716,Entrenamiento
760,717,Entrenamiento
761,718,Prueba
762,719,Entrenamiento
763,548,Validacion
764,720,Prueba
765,721,Validacion
766,722,Entrenamiento
767,723,Entrenamiento
768,724,Prueba
769,725,Entrenamiento
770,683,Prueba
771,726,Entrenamiento
772,727,Entrenamiento
773,728,Entrenamiento
774,729,Entrenamiento
775,730,Prueba
776,731,Prueba
777,542,Entrenamiento
778,732,Entrenamiento
779,733,Validacion
780,734,Validacion
781,735,Entrenamiento
782,560,Entrenamiento
783,736,Prueba
784,737,Validacion
785,738,Entrenamiento
786,739,Entrenamiento
787,182,Entrenamiento
788,327,Entrenamiento
789,740,Entrenamiento
790,741,Entrenamiento
791,696,Validacion
792,742,Validacion
793,743,Entrenamiento
794,744,Prueba
795,745,Prueba
796,746,Validacion
797,444,Entrenamiento
798,747,Validacion
799,748,Prueba
800,749,Entrenamiento
801,750,Entrenamiento
802,751,Validacion
803,752,Entrenamiento
804,753,Entrenamiento
805,754,Entrenamiento
806,755,Validacion
807,220,Entrenamiento
808,756,Validacion
809,757,Prueba
810,758,Entrenamiento
811,759,Prueba
812,760,Entrenamiento
813,464,Entrenamiento
814,761,Entrenamiento
815,762,Entrenamiento
816,763,Prueba
817,764,Prueba
818,88,Prueba
819,752,Entrenamiento
820,765,Validacion
821,766,Entrenamiento
822,767,Entrenamiento
823,444,Entrenamiento
824,768,Entrenamiento
825,769,Entrenamiento
826,770,Entrenamiento
827,771,Entrenamiento
828,772,Entrenamiento
829,577,Validacion
830,773,Entrenamiento
831,774,Entrenamiento
832,775,Entrenamiento
833,776,Validacion
834,777,Validacion
835,778,Entrenamiento
836,779,Entrenamiento
837,780,Entrenamiento
838,781,Entrenamiento
839,782,Entrenamiento
840,783,Prueba
841,283,Validacion
842,784,Entrenamiento
843,785,Entrenamiento
844,786,Entrenamiento
845,787,Prueba
846,788,Entrenamiento
847,789,Entrenamiento
848,790,Entrenamiento
849,791,Entrenamiento
850,792,Entrenamiento
851,793,Entrenamiento
852,794,Validacion
853,239,Prueba
854,795,Entrenamiento
855,796,Entrenamiento
856,797,Entrenamiento
857,798,Validacion
858,799,Entrenamiento
859,800,Validacion
860,801,Entrenamiento
861,802,Prueba
862,803,Prueba
863,804,Entrenamiento
864,805,Prueba
865,806,Entrenamiento
866,807,Prueba
867,808,Prueba
868,809,Prueba
869,810,Validacion
870,811,Prueba
871,812,Validacion
872,813,Entrenamiento
873,814,Entrenamiento
874,815,Entrenamiento
875,816,Entrenamiento
876,817,Entrenamiento
877,818,Entrenamiento
878,819,Entrenamiento
879,820,Entrenamiento
880,821,Entrenamiento
881,822,Entrenamiento
882,823,Entrenamiento
883,824,Entrenamiento
884,307,Entrenamiento
885,825,Entrenamiento
886,376,Validacion
887,826,Entrenamiento
888,615,Entrenamiento
889,396,Entrenamiento
890,25,Entrenamiento
891,827,Entrenamiento
892,828,Validacion
893,829,Validacion
894,830,Entrenamiento
895,831,Prueba
896,832,Entrenamiento
897,833,Prueba
898,834,Entrenamiento
899,835,Entrenamiento
900,836,Entrenamiento
901,837,Validacion
902,838,Validacion
903,839,Entrenamiento
904,757,Prueba
905,253,Entrenamiento
906,840,Entrenamiento
907,841,Prueba
908,842,Prueba
909,843,Entrenamiento
910,641,Entrenamiento
911,844,Entrenamiento
912,845,Entrenamiento
913,846,Entrenamiento
914,847,Entrenamiento
915,848,Prueba
916,849,Entrenamiento
917,850,Entrenamiento
918,851,Entrenamiento
919,852,Entrenamiento
920,853,Entrenamiento
921,854,Entrenamiento
922,855,Entrenamiento
923,856,Validacion
924,857,Prueba
925,858,Entrenamiento
926,859,Prueba
927,860,Entrenamiento
928,519,Entrenamiento
929,861,Entrenamiento
930,862,Entrenamiento
931,863,Entrenamiento
932,864,Prueba
933,865,Prueba
934,866,Entrenamiento
935,867,Entrenamiento
936,707,Entrenamiento
937,868,Entrenamiento
938,869,Entrenamiento
939,870,Entrenamiento
940,871,Entrenamiento
941,178,Entrenamiento
942,872,Entrenamiento
943,873,Entrenamiento
944,874,Entrenamiento
945,824,Entrenamiento
946,875,Entrenamiento
947,876,Entrenamiento
948,877,Validacion
949,126,Entrenamiento
950,878,Entrenamiento
951,879,Prueba
952,880,Entrenamiento
953,881,Validacion
954,882,Entrenamiento
955,391,Entrenamiento
956,883,Entrenamiento
957,480,Entrenamiento
958,884,Entrenamiento
959,885,Entrenamiento
960,886,Entrenamiento
961,887,Prueba
962,888,Entrenamiento
963,889,Prueba
964,890,Entrenamiento
965,891,Entrenamiento
966,892,Entrenamiento
967,893,Prueba
968,894,Entrenamiento
969,895,Entrenamiento
970,896,Prueba
971,897,Prueba
972,898,Validacion
973,899,Entrenamiento
974,900,Entrenamiento
975,901,Entrenamiento
976,902,Entrenamiento
977,903,Validacion
978,893,Prueba
979,904,Entrenamiento
980,169,Entrenamiento
981,905,Entrenamiento
982,906,Entrenamiento
983,907,Prueba
984,908,Entrenamiento
985,909,Entrenamiento
986,910,Entrenamiento
987,911,Validacion
988,912,Entrenamiento
989,913,Entrenamiento
990,312,Entrenamiento
991,914,Entrenamiento
992,915,Validacion
993,916,Entrenamiento
994,917,Entrenamiento
995,918,Entrenamiento
996,919,Entrenamiento
997,920,Entrenamiento
998,292,Validacion
999,921,Entrenamiento
1000,922,Entrenamiento
1001,380,Validacion
1002,923,Entrenamiento
1003,924,Entrenamiento
1004,925,Prueba
1005,926,Validacion
1006,927,Prueba
1007,928,Entrenamiento
1008,929,Entrenamiento
1009,930,Entrenamiento
1010,668,Prueba
1011,931,Prueba
1012,932,Prueba
1013,933,Entrenamiento
1014,934,Entrenamiento
1015,935,Entrenamiento
1016,936,Entrenamiento
1017,937,Entrenamiento
1018,938,Entrenamiento
1019,444,Entrenamiento
1020,939,Entrenamiento
1021,431,Entrenamiento
1022,940,Entrenamiento
1023,941,Entrenamiento
1024,942,Entrenamiento
1025,126,Entrenamiento
1026,943,Entrenamiento
1027,944,Prueba
1028,416,Prueba
1029,945,Prueba
1030,946,Entrenamiento
1031,947,Entrenamiento
1032,948,Entrenamiento
1033,949,Validacion
1034,950,Entrenamiento
1035,951,Entrenamiento
1036,952,Prueba
1037,953,Entrenamiento
1038,434,Entrenamiento
1039,954,Entrenamiento
1040,955,Entrenamiento
1041,956,Entrenamiento
1042,400,Entrenamiento
1043,957,Validacion
1044,958,Entrenamiento
1045,959,Entrenamiento
1046,960,Entrenamiento
1047,961,Entrenamiento
1048,251,Validacion
1049,962,Entrenamiento
1050,963,Entrenamiento
1051,964,Prueba
1052,953,Entrenamiento
1053,965,Entrenamiento
1054,966,Entrenamiento
1055,967,Entrenamiento
1056,968,Entrenamiento
1057,969,Validacion
1058,970,Entrenamiento
1059,971,Entrenamiento
1060,972,Entrenamiento
1061,973,Entrenamiento
1062,974,Entrenamiento
1063,975,Entrenamiento
1064,167,Validacion
1065,976,Entrenamiento
1066,977,Prueba
1067,978,Prueba
1068,979,Entrenamiento
1069,980,Entrenamiento
1070,937,Entrenamiento
1071,981,Entrenamiento
1072,982,Entrenamiento
1073,431,Entrenamiento
1074,622,Prueba
1075,983,Entrenamiento
1076,984,Entrenamiento
1077,905,Entrenamiento
1078,985,Entrenamiento
1079,986,Entrenamiento
1080,987,Entrenamiento
1081,988,Entrenamiento
1082,989,Entrenamiento
1083,990,Entrenamiento
1084,560,Entrenamiento
1085,991,Entrenamiento
1086,992,Entrenamiento
1087,588,Entrenamiento
1088,993,Entrenamiento
1089,937,Entrenamiento
1090,994,Validacion
1091,995,Entrenamiento
1092,996,Prueba
1093,997,Entrenamiento
1094,998,Entrenamiento
1095,999,Prueba
1096,1000,Entrenamiento
1097,1001,Prueba
1098,1002,Prueba
1099,1003,Entrenamiento
1100,1004,Entrenamiento
1101,1005,Entrenamiento
1102,533,Validacion
1103,598,Validacion
1104,1006,Entrenamiento
1105,1007,Entrenamiento
1106,1008,Entrenamiento
1107,136,Entrenamiento
1108,1009,Entrenamiento
1109,380,Validacion
1110,1010,Prueba
1111,1011,Entrenamiento
1112,1012,Entrenamiento
1113,1013,Entrenamiento
1114,1014,Entrenamiento
1115,1015,Entrenamiento
1116,1016,Entrenamiento
1117,581,Entrenamiento
1118,432,Entrenamiento
1119,1017,Entrenamiento
1120,1018,Prueba
1121,1019,Entrenamiento
1122,1020,Prueba
1123,1021,Entrenamiento
1124,497,Prueba
1125,1022,Prueba
1126,1023,Entrenamiento
1127,1024,Entrenamiento
1128,1025,Validacion
1129,1026,Entrenamiento
1130,1027,Entrenamiento
1131,1028,Entrenamiento
1132,1029,Validacion
1133,1030,Prueba
1134,1031,Entrenamiento
1135,1032,Prueba
1136,1033,Prueba
1137,1034,Validacion
1138,1035,Entrenamiento
1139,1036,Entrenamiento
1140,1037,Entrenamiento
1141,1038,Validacion
1142,1039,Validacion
1143,743,Entrenamiento
1144,1040,Entrenamiento
1145,1041,Validacion
1146,1042,Validacion
1147,1043,Entrenamiento
1148,1044,Prueba
1149,1045,Entrenamiento
1150,1046,Validacion
1151,1047,Prueba
1152,1048,Entrenamiento
1153,1049,Prueba
1154,269,Entrenamiento
1155,1050,Entrenamiento
1156,1051,Entrenamiento
1157,1052,Validacion
1158,241,Entrenamiento
1159,1053,Entrenamiento
1160,461,Entrenamiento
1161,1054,Entrenamiento
1162,1055,Prueba
1163,1056,Validacion
1164,1057,Prueba
1165,1058,Entrenamiento
1166,1059,Entrenamiento
1167,1060,Entrenamiento
1168,1061,Entrenamiento
1169,433,Entrenamiento
1170,1062,Entrenamiento
1171,1063,Entrenamiento
1172,431,Entrenamiento
1173,217,Validacion
1174,1064,Entrenamiento
1175,1065,Entrenamiento
1176,1066,Entrenamiento
1177,1067,Entrenamiento
1178,1068,Validacion
1179,1069,Entrenamiento
1180,1070,Entrenamiento
1181,1071,Prueba
1182,1072,Entrenamiento
1183,1073,Validacion
1184,1074,Prueba
1185,1075,Prueba
1186,1044,Prueba
1187,1052,Validacion
1188,1076,Entrenamiento
1189,1077,Entrenamiento
1190,1078,Entrenamiento
1191,1079,Entrenamiento
1192,1080,Entrenamiento
1193,1081,Entrenamiento
1194,1082,Entrenamiento
1195,1083,Entrenamiento
1196,1084,Prueba
1197,1085,Entrenamiento
1198,1086,Prueba
1199,1087,Prueba
1200,917,Entrenamiento
1201,1088,Entrenamiento
1202,1089,Entrenamiento
1203,1090,Prueba
1204,1087,Prueba
1205,1091,Entrenamiento
1206,1092,Entrenamiento
1207,1093,Entrenamiento
1208,1094,Validacion
1209,461,Entrenamiento
1210,1095,Validacion
1211,1096,Prueba
1212,105,Entrenamiento
1213,1097,Validacion
1214,1098,Entrenamiento
1215,126,Entrenamiento
1216,1099,Entrenamiento
1217,269,Entrenamiento
1218,1100,Entrenamiento
1219,1101,Prueba
1220,1102,Entrenamiento
1221,1103,Prueba
1222,1104,Entrenamiento
1223,93,Prueba
1224,1105,Entrenamiento
1225,1106,Entrenamiento
1226,1107,Entrenamiento
1227,1108,Entrenamiento
1228,0,Entrenamiento
1229,1,Entrenamiento
1230,2,Entrenamiento
1231,1109,Prueba
1232,4,Entrenamiento
1233,1110,Entrenamiento
1234,6,Entrenamiento
1235,1111,Entrenamiento
